Code,Name,Old Location,New Location,Coming Stock,Stock
,,,COMPRESSOR_TANK_ROUND,,
HAND_MASSAGER,"C-02-06_KK123_A2_Hand Massager, Cordless Electric Hand Therapy Massager for R",C-02-06,,10,15
HDMI_SPLIT_ADPT_2IN1,H-01-03_2IN1 HDMI SPLITTER,H-01-03,,10,15
HDMI_3_RCA_ADPT,"BGG-02-03_HDMI to RCA Adapter, HDMI to RCA Converter",BGG-02-03,,10,15
HDMI_5M_COL,E-03-02_HDMI Cable 5m,E-03-02,,10,15
HDMI_10M_COL,E-03-02_HDMI Cable HDMI Cable,E-03-02,,10,15
HDMI_15M_COL,E-03-02_HDMI Cable to HDMI Cable,E-03-02,,10,15
HDMI_DP_1.8M,BG-I-04-04_Display Port to HDMI cable Display Port to HDMI cable,BG-I-04-04,,10,15
HEADLAMP_BLUE,C-01-01_SR_T6 LED Rechargeable Headlamp Headlight Head Lamp Torch,C-01-01,,10,15
HEAT_PAPER,C-03-03_Heat Transfer Paper,C-03-03,,10,15
HIPS_TRAINER,E-02-03_EMS Hip Trainer Muscle Stimulator ABS Wireless Fitness Buttock,E-02-03,,10,15
HISEEU_3ANT_2MP_TR4087,C-01-04-HISEEU Camera,C-01-04-HISEEU Camera,,10,15
HISEEU_3ANT_2MP_TR4087+32GB,C-01-04-HISEEU Camera + 32GB,C-01-04-HISEEU Camera + 32GB,,10,15
HISEEU_4CH_POE_3MP_TR4106_ONLY,A-02-04_KK123_HISEEU Camera,A-02-04,,10,15
HISEEU_4CH_POE_3MP_TR4106+1TB,A-02-04_KK123_POE security Camera system 4ch,A-02-04,,10,15
HISEEU_4CH_POE_5MP_TR4107 + 1TB,A-02-04_KK123_HISEEU POE 4CH Camera,A-02-04,,10,15
HISEEU_4CH_POE_5MP_TR4107_ONLY,A-02-04_KK123_HISEEU Camera 5mp POE,A-02-04,,10,15
HISEEU_4CH_POEDOME_5MP_TR4108_ONLY,B-01-06_KK123_HISEEU Dome POE Security Camera System,B-01-06,,10,15
HISEEU_4CH_POEDOME_5MP_TR4108+ 1TB,A-02-04_KK123_HISEEU Dome POE Security Camera System,A-02-04,,10,15
HISEEU_4CH_WITHSCREEN_TR4102,A-02-04_KK123_Hiseeu Security Camera with Screen,A-02-04,,10,15
HISEEU_4CH_WITHSCREEN_TR4102_ONLY,A-02-04_KK123_Hiseeu Security Camera with Screen,A-02-04,,10,15
HISEEU_4CH_WITHSCREEN_TR4102+1TB,A-02-04_KK123_Hiseeu Security Camera with screen 1TB,A-02-04,,10,15
HISEEU_4CHWIFI_3MP_TR4101_ONLY,A-02-04_KK123_SR_Wireless Security Camera system 4 Channel,A-02-04,,10,15
HISEEU_4CHWIFI_3MP_TR4101+1TB,A-02-04_KK123_Wireless Security camera system 4ch,A-02-04,,10,15
HISEEU_8CH_3MP_TR4105_ONLY,A-02-04_KK123_HISEEU Wireless security Camera system 8ch,A-02-04,,10,15
HISEEU_8CH_3MP_TR4105+1TB,A-02-04_KK123_HISEEU Wireless security Camera system 8ch,A-02-04,,10,15
HISEEU_BATTERY_CAM_TR4093,B-03-02-HISEEU Camera,B-03-02-HISEEU Camera,,10,15
HISEEU_BATTERY_CAM_TR4093+32GB,B-03-02-HISEEU Camera TR4093 + 32GB,B-03-02-HISEEU Camera TR4093 + 32GB,,10,15
HISEEU_BATTERY_CAM_TR4094,B-03-02-HISEEU Camera,B-03-02-HISEEU Camera,,10,15
HISEEU_BATTERY_CAM_TR4094+32GB,B-03-02-HISEEU Camera TR4094 +32GB,B-03-02-HISEEU Camera TR4094 +32GB,,10,15
HISEEU_C10_CAM_TR4096,B-03-02-HISEEU Camera,B-03-02-HISEEU Camera,,10,15
HISEEU_C10_CAM_TR4096+32GB,B-03-02-HISEEU Camera TR4096 + 32GB,B-03-02-HISEEU Camera TR4096 + 32GB,,10,15
HISEEU_C50_CAM_TR4097,B-03-02-HISEEU Camera,B-03-02-HISEEU Camera,,10,15
HISEEU_C50_CAM_TR4097+32GB,C-01-02-HISEEU Camera TR4097 + 32GB,C-01-02-HISEEU Camera TR4097 + 32GB,,10,15
HISEEU_CQ1_PTZ_TR4098,B-02-02_KK123_A2_HISEEU Camera Solar 2 antenna,B-02-02,,10,15
HISEEU_CQ1_PTZ_TR4098+32GB,B-02-02_KK123_A2_HISEEU Camera Solar 2 antenna + 32GB,B-02-02,,10,15
HISEEU_DOME_4CH_TR4103_ONLY,A-02-04_KK123_HISEEU Camera,A-02-04,,10,15
HISEEU_DOME_4CH_TR4103+1TB,A-02-04_KK123_HISEEU Camera + 1tb hdd,A-02-04,,10,15
HISEEU_FJ2C_2MP_TR4088,B-03-02-HISEEU Camera,B-03-02-HISEEU Camera,,10,15
HISEEU_FJ2C_2MP_TR4088+32GB,B-03-02-HISEEU Camera + 32GB Tr4088,B-03-02-HISEEU Camera + 32GB Tr4088,,10,15
HISEEU_PTZ_3MP_TR4091,B-02-03-HISEEU Camera,B-02-03-HISEEU Camera,,10,15
HISEEU_PTZ_3MP_TR4091+32GB,B-02-03-HISEEU Camera TR4091 + 32gb,B-02-03-HISEEU Camera TR4091 + 32gb,,10,15
HISEEU_PTZ_4CH_TR4104_ONLY,A-02-04_KK123_HISEEU Camera,A-02-04,,10,15
HISEEU_PTZ_4CH_TR4104+1TB,A-02-04_KK123_Wireless security camera system,A-02-04,,10,15
HISEEU_PTZ_612_TR4090,B-02-03-HISEEU Camera,B-02-03-HISEEU Camera,,10,15
HISEEU_PTZ_612_TR4090+32GB,B-02-03_KK123_A2_HISEEU PTZ Camera,B-02-03,,10,15
HISEEU_PTZ_712_TR4092,B-01-02-HISEEU Camera,B-01-02-HISEEU Camera,,10,15
HISEEU_PTZ_712_TR4092+32GB,B-02-04HISEEU Camera TR4092 + 32GB,B-02-04HISEEU Camera TR4092 + 32GB,,10,15
HISEEU_PTZ_812_TR4089,B-01-04_KK123_A2_HISEEU PTZ Camera,B-01-04,,10,15
HISEEU_PTZ_812_TR4089+32GB,B-01-04_KK123_A2_HISEEU PTZ Camera + 32GB SD TR4089,B-01-04,,10,15
HISEEU_WTDA03_PTZ_TR4099,A-01-03_KK123_A2_HISEEU Camera,A-01-03,,10,15
HISEEU_WTDA03_PTZ_TR4099+32GB,A-01-03_KK123_A2_HISEEU Camera TR4099 + 32GB,A-01-03,,10,15
HK02-4_DARKGREEN,BG-R-04-01_KK123_Outdoor Throw Pop Up Tent Outdoor Automatic Tent,BG-R-04-01,,10,15
HOLDER_FLUID_BLACK,E-03-01_Tripod 4 Sections Tripod+Phone Holder Camera Holder,E-03-01,,10,15
HONEY_SOLAR,C-02-03_Honeybee Solar Fairy String Lights 30 LED,C-02-03,,10,15
HUGGLE_HOODIE_RED,"C-01-01_1KK123_A2_Huggle Hoodie,Hooded Robe",C-01-01,,10,15
HUMIDIFIER_LIGHTWOOD_TR1039,A-01-01_SR_KK123_A2_Aromatherapy Diffuser Aroma Air Humidifier LED Light,A-01-01,,10,15
HUNTERSPIDER_V1,B-02-03_ PS4 Headphones,B-02-03,,10,15
HUNTERSPIDER_V3_BLUE,B-02-02_KK123_KR_A2_V3 Gaming Headphones,B-02-02,,10,15
INSULATION_SHIELD_TR4319,A-04-03_KK123_10PCS 50x30CM Car Heat Shield Mat,A-04-03,,10,15
IP_CAM_CLOUD,E-02-03_Wireless Security Camera Motion Detection,E-02-03,,10,15
IP_CAM_RND,E-02-03_Wireless IP Camera Round,E-02-03,,10,15
IP12.9_360_2018_RED,C-01-01_KK123_A2_iPad Pro 12.9 Case 2018 360 Degree Rotation Red,C-01-01,,10,15
IPAD_10.2_360CASE_BLACK,D-01-01_1iPad 10.2 Case 7th Generation 360 Case,D-01-01,,10,15
IPAD_10.2_360CASE_DARKBLUE,D-01-01_1iPad 10.2 Case,D-01-01,,10,15
IPAD_10.2_360CASE_LIGHTBLUE,D-01-01_ 1iPad 10.2 Case 7th Generation 360 Case Light Blue,D-01-01,,10,15
IPAD_10.2_360CASE_LIGHTPINK,D-01-01_ 1iPad 10.2 Case 7th Generation 360 Case Light Pink,D-01-01,,10,15
IPAD_10.2_360CASE_RED,D-01-01_1iPad 10.2 Case 7th Generation 360 Case Red,D-01-01,,10,15
IPAD_10.5_360CASE_BLACK,D-01-01_iPad Pro 10.5 Case,D-01-01,,10,15
IPAD_10.5_360CASE_DARKBLUE,D-01-01_iPad Air 3 Case,D-01-01,,10,15
IPAD_10.5_360CASE_LIGHTBLUE,D-01-01_iPad 10.5 360 Rotation Leather Case Light Blue,D-01-01,,10,15
IPAD_10.5_360CASE_RED,D-01-01_iPad Pro 10.5 Case iPad Air 3 Case,D-01-01,,10,15
IPAD_10.9_BLACKAQUA,C-01-01_1iPad Air 4th Generation case 2020 10.9 Case,C-01-01,,10,15
IPAD_11_360CASE_BLACK,C-01-01_iPad Pro 11 Case,C-01-01,,10,15
IPAD_11_360CASE_LIGHTBLUE,"C-01-01_iPad Pro 11"" Case Sky Blue",C-01-01,,10,15
